id,username,first_name,first_seen
7028544369,funcoav,Avi,2026-06-16T20:42:53.405965+00:00
8909747044,harryyou1,Harry,2026-06-16T20:52:09.943847+00:00
8058343324,aviwca,Avi WCA,2026-06-16T20:53:30.681325+00:00
